GQQ,Alpha
0.6281179828181733,0.5517158909214847
0.8046013973177591,0.7184868714885914
0.5805626312941861,0.5879850292816495
0.7043769750483453,0.6383686031434224
0.8048719958788301,0.7072756664630759
0.5597666859181439,0.5714762849426053
0.7327628795167087,0.6919788833665833
0.5593982788740741,0.5671928664041871
0.8471643674025868,0.7228148017543939
0.8688080931510469,0.7760093267138667
0.8975109232759642,0.7856164913944947
0.8413077233393672,0.7521816632940712
0.8553183527778984,0.7489099936516305
0.662688875346592,0.6289251479720886
0.9056061441696088,0.7909830475011439
0.8106060529574519,0.7192918006507104
0.8833735205735976,0.7874726768803579
0.5685197242088691,0.563785252415069
0.5684008569074187,0.5975021054719595
0.8921110093945936,0.7942581354434043
0.6496003288896988,0.642185115812681
0.8593094309833313,0.7872112137857924
0.6102843358190482,0.6158738770072874
0.889794959637041,0.785967701129834
0.7463396438593437,0.6809078470347653
0.7139770122251895,0.6486553835238645
0.7836796816323516,0.6804697851723718
0.8121400104260958,0.7329811190165018
0.7163625530132038,0.6666086498680318
0.6220676622962866,0.5986904781079612
0.7658775734067129,0.7173118000568579
0.9077205147240128,0.7979873301870453
0.7300754330601497,0.7108395042392504
0.8970607300863395,0.8054803363061792
0.9085733843387204,0.806945616614289
0.6762820665133606,0.64225166735803
0.8610553112303496,0.785568615481764
0.5678747790965394,0.5763653232216829
0.707565779997714,0.6494876286859699
0.7286094262891014,0.6756405432543443
0.900273769052556,0.7743694103812707
0.6594528623034406,0.650615483045882
0.8389728526852864,0.7229727344171089
0.5751130286851281,0.5671091683321273
0.8232936322861211,0.7524255477505217
0.5866871538877999,0.6022470903587375
0.8942331497827652,0.8031626925136338
0.7367730746655532,0.6781291922354593
0.8722752240874697,0.7613853736802132
0.6578567752102069,0.622724144451875
0.752284138844819,0.7059029749719966
0.8943692273719054,0.7742695060669539
0.6883864964797717,0.6654500459610402
0.8215210285711414,0.7218346656925716
0.8604790705009447,0.7691373198213896
0.8937902398519325,0.7952408968125761
0.6817881309348159,0.60026969808658
0.619194374310956,0.6192897208329907
